135,aatrox,Rengar,48.05,231,jungle
136,aatrox,Fiddlesticks,47.62,441,jungle
137,aatrox,Nidalee,46.68,572,jungle
138,aatrox,Lee Sin,46.62,2072,jungle
139,aatrox,Malphite,46.15,130,jungle
140,aatrox,Shen,46.08,102,jungle
141,aatrox,Evelynn,45.03,775,jungle
142,aatrox,Kindred,44.96,347,jungle
143,aatrox,Graves,44.65,1214,jungle
144,aatrox,Olaf,44.44,369,jungle
145,aatrox,Volibear,43.89,745,jungle
146,aatrox,Sett,43.8,363,jungle
147,aatrox,Trundle,43.68,190,jungle
148,aatrox,Skarner,43.65,126,jungle
149,aatrox,Zac,43.35,819,jungle
150,aatrox,Lillia,43.26,749,jungle
151,aatrox,Jarvan IV,43.09,434,jungle
152,aatrox,Nocturne,43.07,541,jungle
153,aatrox,Master Yi,43.04,1294,jungle
154,aatrox,Amumu,42.75,690,jungle
155,aatrox,Gragas,42.73,220,jungle
156,aatrox,Karthus,42.6,338,jungle
157,aatrox,Sejuani,42.59,216,jungle
158,aatrox,Nunu,42.45,742,jungle
159,aatrox,Kha'Zix,41.88,745,jungle
160,aatrox,Elise,41.85,595,jungle
161,aatrox,Shyvana,41.55,799,jungle
162,aatrox,Shaco,41.43,560,jungle
163,aatrox,Kayn,41.24,1719,jungle
164,aatrox,Xin Zhao,40.99,405,jungle
165,aatrox,Rek'Sai,40.63,224,jungle
166,aatrox,Ekko,40.29,1380,jungle
167,aatrox,Wukong,40,155,jungle
168,aatrox,Warwick,39.96,916,jungle
169,aatrox,Jax,39.77,611,jungle
170,aatrox,Hecarim,39.29,1288,jungle
171,aatrox,Dr. Mundo,38.76,129,jungle
172,aatrox,Vi,38.64,678,jungle
173,aatrox,Rammus,38.01,513,jungle
174,aatrox,Udyr,37.35,257,jungle
175,aatrox,Kassadin,55.61,2271,middle
176,aatrox,Samira,55.45,220,middle
177,aatrox,Tristana,55.2,221,middle
178,aatrox,Sylas,54.85,4857,middle
179,aatrox,Galio,54.8,3551,middle
180,aatrox,Qiyana,54.57,678,middle
181,aatrox,Master Yi,53.77,106,middle
182,aatrox,Corki,53.7,270,middle
183,aatrox,Lissandra,53.33,405,middle
184,aatrox,Jayce,53.01,581,middle
185,aatrox,Maokai,52.88,104,middle
186,aatrox,Twisted Fate,52.24,1363,middle
187,aatrox,Pantheon,52.19,1301,middle
188,aatrox,Vayne,52.14,140,middle
189,aatrox,Renekton,52.07,1162,middle
190,aatrox,Irelia,52.03,2683,middle
191,aatrox,Mordekaiser,51.83,465,middle
192,aatrox,Talon,51.79,2761,middle
193,aatrox,Riven,51.61,217,middle
194,aatrox,Ryze,51.44,797,middle
195,aatrox,Vladimir,51.41,1743,middle
196,aatrox,Zoe,51.33,1545,middle
197,aatrox,Nasus,51.06,141,middle
198,aatrox,Rumble,50.96,571,middle
199,aatrox,Sett,50.68,590,middle
200,aatrox,Tryndamere,50.64,156,middle
201,aatrox,Akali,50.46,6048,middle
202,aatrox,Garen,50.14,694,middle
203,aatrox,Diana,50.14,1787,middle
204,aatrox,Anivia,50.11,473,middle
205,aatrox,Lucian,50.03,3048,middle
206,aatrox,Nunu,50,254,middle
207,aatrox,Fizz,49.96,2324,middle
208,aatrox,Yasuo,49.75,6887,middle
209,aatrox,Wukong,49.71,175,middle
210,aatrox,Ziggs,49.61,385,middle
211,aatrox,Cassiopeia,49.44,985,middle
212,aatrox,Yone,49.41,4859,middle
213,aatrox,Quinn,48.65,148,middle
214,aatrox,Malzahar,48.64,884,middle
215,aatrox,Azir,48.51,435,middle
216,aatrox,Syndra,48.13,829,middle
217,aatrox,LeBlanc,48.12,1565,middle
218,aatrox,Darius,48.03,279,middle
219,aatrox,Ekko,47.85,1557,middle
220,aatrox,Malphite,47.43,797,middle
221,aatrox,Swain,47.37,285,middle
222,aatrox,Kayle,47.37,228,middle
223,aatrox,Teemo,47.31,186,middle
224,aatrox,Ornn,47.12,312,middle
225,aatrox,Ezreal,46.43,196,middle
226,aatrox,Camille,46.31,352,middle
227,aatrox,Jax,46.3,108,middle
228,aatrox,Neeko,46.15,533,middle
229,aatrox,Kled,46.11,193,middle
230,aatrox,Zed,46.07,5463,middle
231,aatrox,Viktor,45.9,536,middle
232,aatrox,Katarina,45.82,2165,middle
233,aatrox,Nocturne,45.71,595,middle
234,aatrox,Veigar,45.42,982,middle
235,aatrox,Heimerdinger,45.38,249,middle
236,aatrox,Graves,45.33,214,middle
237,aatrox,Annie,45.1,836,middle
238,aatrox,Lux,45.03,1277,middle
239,aatrox,Brand,44.95,218,middle
240,aatrox,Orianna,44.93,1678,middle
241,aatrox,Cho'Gath,44.86,243,middle
242,aatrox,Aurelion Sol,44.4,241,middle
243,aatrox,Fiora,44.07,329,middle
244,aatrox,Xerath,44.03,729,middle
245,aatrox,Ahri,43.74,2389,middle
246,aatrox,Pyke,43.64,582,middle
247,aatrox,Morgana,43.41,334,middle
248,aatrox,Vel'Koz,42.12,368,middle
249,aatrox,Zilean,41.98,131,middle
250,aatrox,Lulu,41.89,148,middle
251,aatrox,Lillia,39.05,105,middle
252,aatrox,Ashe,41.9,284,bottom
253,aatrox,Vayne,39.39,132,bottom
254,aatrox,Caitlyn,39.26,326,bottom
255,aatrox,Jhin,37.16,261,bottom
256,aatrox,Kai'Sa,36.94,157,bottom
257,aatrox,Ezreal,36.86,369,bottom
258,aatrox,Miss Fortune,36.65,191,bottom
259,aatrox,Jinx,34.43,122,bottom
260,aatrox,Lucian,33.97,156,bottom
261,aatrox,Pantheon,42.01,169,support
262,aatrox,Thresh,42,300,support
263,aatrox,Pyke,41.31,213,support
264,aatrox,Yuumi,39.89,188,support
265,aatrox,Senna,37.64,178,support
266,aatrox,Nautilus,36.22,196,support
267,aatrox,Blitzcrank,35.05,214,support
268,aatrox,Lulu,34.42,154,support
269,aatrox,Leona,32.55,212,support
270,aatrox,Lux,32.5,320,support
271,aatrox,Morgana,30.95,252,support
272,aatrox,Soraka,30.1,103,support
273,aatrox,Swain,29.41,119,support
274,ahri,Orianna,58.88,107,top
275,ahri,Pantheon,58.13,160,top
276,ahri,Lissandra,57.84,102,top
277,ahri,Annie,56.6,106,top
278,ahri,Viktor,56.25,128,top
279,ahri,Karma,56.14,114,top
280,ahri,Samira,55.17,145,top
281,ahri,Veigar,54.71,170,top
282,ahri,Galio,54.49,178,top
283,ahri,Riven,54.2,714,top
284,ahri,Kennen,54.15,458,top
285,ahri,Shaco,53.92,102,top
286,ahri,Illaoi,53.92,651,top
287,ahri,Jax,53.36,1265,top
288,ahri,Master Yi,52.89,121,top
289,ahri,Volibear,52.87,541,top
290,ahri,Hecarim,52.34,107,top
291,ahri,Swain,52.17,115,top
292,ahri,Akali,52.03,2074,top
